store,name,price,old_price,promotion
Pick n Pay,PnP Beetroot 1kg,14.99,,
Pick n Pay,Nestle Cremora Creamer 750g,69.99,,
Pick n Pay,Lay's Sour Cream & Onion Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Jacobs Kronung Instant Coffee Refill 230g,209.99,,R159.99 (Smart Price)
Pick n Pay,Maynards Original Wine Gums 100g,27.99,,2 For R42.00 (Smart Price)
Pick n Pay,Sta-Soft Aromatherapy Indulgence Fabric Softener Refill 500ml,48.99,,2 For R60.00 (Smart Price)
Pick n Pay,Knorrox Chicken Stock Cubes 24 x 10g,27.99,,R21.99 (Smart Price)
Pick n Pay,Lay's Limited Edition Italian Truffle & Garlic Potato Chips 120g,23.99,,
Pick n Pay,Dinu Plain White Roller Towel 2 Pack,31.99,,R21.99 (Smart Price)
Pick n Pay,Rhodes Quality 100% Cranberry Fruit Juice 1L,34.99,,
Pick n Pay,Panado Tablets 24 Tablets,27.99,36.99,
Pick n Pay,McCain Skinny Cut Potato Fries 1kg,62.99,,
Pick n Pay,Simba NikNaks Cheese Flavoured Maize Snack 5 x 22g,15.99,,2 For R24.00 (Smart Price)
Pick n Pay,Sasko Premium Sliced Brown Bread 700g,17.99,,
Pick n Pay,Colgate Triple Action Multibenefit Toothpaste 100ml,24.99,,
Pick n Pay,Doritos Flame Grilled BBQ Corn Chips 145g,23.99,,
Pick n Pay,Dr Oetker Ital Pizza Classic BBQ Chicken Pizza 320g,67.49,,5 For R200.00 (Smart Price)
Pick n Pay,Hinds Paprika Spice 55g,16.99,,
Pick n Pay,Simba NikNaks Beef Bbq Flavoured Maize Snack 135g,15.99,,2 For R25.00 (Smart Price)
Pick n Pay,PnP Let's Cook Butternut 500g,25.99,,
Pick n Pay,Koo Whole Kernel Corn 410g,23.99,,
Pick n Pay,Comfort Jasmine & Cashmere Value Pack Concentrated Fabric Conditioner Refill 800ml,52.99,,3 For R110.00 (Smart Price)
Pick n Pay,Nestle Caramel Trest Dairy Dessert 360g,45.99,,R36.99 (Smart Price)
Pick n Pay,Lay's Chips Sweet & Smoky American Bbq 36g,9.99,,
Pick n Pay,Red Bull Energy Drink 250ml,19.99,,2 For R27.00
Pick n Pay,Blue Ribbon Classic Brown Sliced Bread 700g,17.99,,
Pick n Pay,PnP Beef Potjiekos,137.99,,
Pick n Pay,Olive Pride Extra Virgin Olive & Seed Oil 1L,69.99,89.99,
Pick n Pay,PnP White Sugar 2.5kg,57.99,69.99,
Pick n Pay,Knorr Tasty Chicken 2in1 Stew Mix with Robertsons Chicken Spice 50g,8.99,,
Pick n Pay,Pasta Grande Macaroni 500g,18.99,,
Pick n Pay,Brookes Oros Pineapple 2L,45.99,,R39.99 (Smart Price)
Pick n Pay,Oreo Chocolate Crème Sandwich Cookies 128.8g,19.99,,2 For R30.00 (Smart Price)
Pick n Pay,Sea Harvest Fish Fingers 600g,89.99,,
Pick n Pay,Comfort Jasmine & Cashmere Concentrated Fabric Conditioner 800ml,62.99,,2 For R95.00 (Smart Price)
Pick n Pay,Jik Lemon Fresh Bleach 1.5L,44.99,,R34.99 (Smart Price)
Pick n Pay,Henties Juice Drink 10% Apple 250ml,5.0,6.99,
Pick n Pay,Truda Deliciously Salted Fish-Shaped Pretzels 40g,5.99,,
Pick n Pay,PnP 2 Ply Toilet Tissue Paper 9 Pack,74.99,,
Pick n Pay,Simba NikNaks Flamin Hot Flavoured Maize Snack 135g,15.99,,2 For R25.00 (Smart Price)
Pick n Pay,PnP Sparkling Spring Water 500ml x 6,40.0,41.99,2 For R70.00
Pick n Pay,PnP Sausage Roll,27.99,31.49,
Pick n Pay,Truda Sweet Chilli Spookies 100g,12.99,,
Pick n Pay,Rainbow Simply Chicken Cheese Viennas 1kg,104.99,119.99,
Pick n Pay,Dettol Sensitive Hygiene Hand & Body Soap 175g,19.99,,2 For R28.00 (Smart Price)
Pick n Pay,Lifebuoy Lemon Fresh Hygiene Bar Soap 175g,19.99,,2 For R28.00 (Smart Price)
Pick n Pay,Vaseline Blue Seal Original Hypoallergenic Pure Petroleum Jelly 250ml,49.99,,2 For R74.00 (Smart Price)
Pick n Pay,PnP Double Cream Strawberries & Cream Yoghurt 1kg,36.99,42.99,
Pick n Pay,Clover Full Cream Milk Fresh 2L,35.99,,
Pick n Pay,PnP Beef Burgers 400g,59.99,,
Pick n Pay,Cadbury Slab Top Deck 150g,46.99,,2 For R75.00 (Smart Price)
Pick n Pay,PnP Bulk Bomb Squad Beef & Pork Oukraal Wors,84.99,,
Pick n Pay,Country Fresh Blueberry & Cheesecake Ice Cream With Blueberry Syrup 1.8L,79.99,,
Pick n Pay,PnP Mixed Vegetables Express 400g,34.99,,
Pick n Pay,Tropika Pineapple Flavoured Dairy Fruit Juice Mix 2L,29.99,39.99,
Pick n Pay,Purity Pouch Mixed Berries 110ml from 6 Months,16.99,,4 For R55.00
Pick n Pay,Robertsons Bicarbonate of Soda 500g,35.99,,
Pick n Pay,ButtaNutt Original Almond Milk 1L,34.99,,2 For R60.00
Pick n Pay,Husky Wet Chunks in Gravy Beef Steak Flavour 775g,39.99,,3 For R99.00 (Smart Price)
Pick n Pay,No Name Live Well Sugar Red Speckled Beans 500g,24.99,25.99,
Pick n Pay,Cadbury Slab Wholenut 150g,46.99,,2 For R75.00 (Smart Price)
Pick n Pay,Baby Soft White 2 Ply Toilet Paper 9 Pack,89.99,,
Pick n Pay,Super C Mixed Berry Flavoured Drink 500ml,12.99,,2 For R18.00
Pick n Pay,Bug Blue Shooter 20ml,17.0,,4 For R50.00 (Smart Price)
Pick n Pay,Liqui-Fruit Cranberry Cooler Juice 1L,36.99,,Save R10.00
Pick n Pay,Comfort Pure Concentrated Laundry Fabric Softener Refill for Sensitive Skin 800ml,52.99,,3 For R110.00 (Smart Price)
Pick n Pay,PnP Cheddar Cheese 700g,126.99,,
Pick n Pay,Cerebos Salt Iodated Table Poly 500g,12.99,,
Pick n Pay,Jacobs Kronung Instant Coffee 200g,209.99,,R159.99 (Smart Price)
Pick n Pay,Nestle Kitkat 8 Finger Milk 85g,27.99,,2 For R40.00 (Smart Price)
Pick n Pay,Rhodes 100% Apple & Cranberry Fruit Juice 6 x 200ml,49.99,,
Pick n Pay,No Name Frozen Chicken Wings 1.5kg,109.99,,
Pick n Pay,Knorr Rich Oxtail Thickening Soup 50g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,Lay's Argentinian Creamy Pepper Steak Potato Chips 120g,23.99,,
Pick n Pay,PnP Live Well Low Fat Long Life Milk 6 x 1L,98.99,,
Pick n Pay,PnP Spring Still Water 500ml x 6,40.0,41.99,2 For R70.00
Pick n Pay,Melrose Sweetmilk Cheese Spread 250g,51.99,,Buy 1 For R39.99
Pick n Pay,No Name Live Well Popcorn 500g,18.99,,
